date,rank,change,sing_id,subject,singer,rank_out_term,play_in_term,listen_in_term,play_total,listen_total
2019/12/12/18,10,-,89688529,십이월 이십오일의 고백,정승환,1,19008.0,1351.0,3975675,975902
2019/12/12/19,10,-,89688529,십이월 이십오일의 고백,정승환,1,21828.0,1622.0,3997503,977524
2019/12/12/20,10,-,89688529,십이월 이십오일의 고백,정승환,1,17972.0,1324.0,4015475,978848
2019/12/12/21,10,-,89688529,십이월 이십오일의 고백,정승환,1,15442.0,1089.0,4030917,979937
2019/12/12/22,10,-,89688529,십이월 이십오일의 고백,정승환,1,14248.0,938.0,4045165,980875
2019/12/12/23,10,-,89688529,십이월 이십오일의 고백,정승환,1,14024.0,1031.0,4059189,981906
2019/12/13/0,8,2,89688529,십이월 이십오일의 고백,정승환,1,11084.0,676.0,4070273,982582
2019/12/13/1,8,-,89688529,십이월 이십오일의 고백,정승환,1,9150.0,545.0,4079423,983127
2019/12/13/2,8,-,89688529,십이월 이십오일의 고백,정승환,1,7050.0,364.0,4086473,983491
2019/12/13/3,8,-,89688529,십이월 이십오일의 고백,정승환,1,5476.0,236.0,4091949,983727
2019/12/13/4,8,-,89688529,십이월 이십오일의 고백,정승환,1,4491.0,235.0,4096440,983962
2019/12/13/5,8,-,89688529,십이월 이십오일의 고백,정승환,1,3528.0,149.0,4099968,984111
2019/12/13/6,8,-,89688529,십이월 이십오일의 고백,정승환,1,3547.0,146.0,4103515,984257
2019/12/13/7,9,1,89688529,십이월 이십오일의 고백,정승환,1,5672.0,293.0,4109187,984550
2019/12/13/8,8,1,89688529,십이월 이십오일의 고백,정승환,1,14203.0,877.0,4123390,985427
2019/12/13/9,8,-,89688529,십이월 이십오일의 고백,정승환,1,22738.0,1581.0,4146128,987008
2019/12/13/10,8,-,89688529,십이월 이십오일의 고백,정승환,1,16176.0,1253.0,4162304,988261
2019/12/13/11,9,1,89688529,십이월 이십오일의 고백,정승환,1,15086.0,1235.0,4177390,989496
2019/12/13/12,9,-,89688529,십이월 이십오일의 고백,정승환,1,14628.0,1162.0,4192018,990658
2019/12/13/13,9,-,89688529,십이월 이십오일의 고백,정승환,1,14646.0,1108.0,4206664,991766
2019/12/13/14,9,-,89688529,십이월 이십오일의 고백,정승환,1,16117.0,1116.0,4222781,992882
