sing_id,subject,singer,앨범 종류,발매일,장르,스타일,기획사,유통사
88611219,멍청이 (twit),화사 (Hwa Sa),싱글,2019.02.13,댄스/팝,댄스 팝,㈜알비더블유,카카오엔터테인먼트
88234302,잘 지내요,정승환,OST,2018.09.11,발라드,발라드,JS MUSIC,카카오엔터테인먼트
84861691,One Call Away,Charlie Puth,정규,2016.02.12,,반주음악,Hit The Button Karaoke,(주)뮤직트리엔터테인먼트
89310925,Say Goodbye,송하예,OST,2019.08.17,발라드,발라드,냠냠엔터테인먼트,Dreamus
89391733,사람,지코 (ZICO),정규,2019.09.30,랩/힙합,힙합,KOZ 엔터테인먼트,카카오엔터테인먼트
88707238,당신과는 천천히,장범준,정규,2019.03.21,댄스/팝,팝 락,(주)버스커버스커,카카오엔터테인먼트
89330736,날라리 (LALALAY),선미,싱글,2019.08.27,댄스/팝,댄스 팝,㈜메이크어스엔터테인먼트,카카오엔터테인먼트
89602845,보여줘 (겨울왕국 2),박혜나 & 조영경 (Cho Young Kyoung),OST,2019.11.15,댄스/팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
89696606,레인보우 (Feat. YDG) (Prod. by iDeal),뱃사공,싱글,2019.12.07,랩/힙합,힙합,"딩고뮤직, 슈퍼잼레코드",Dreamus
89227703,조금 더 외로워지겠지,김나영,OST,2019.07.18,발라드,발라드,Stone Music Entertainment,지니뮤직
88421579,180도,벤,EP(미니),2018.12.07,발라드,발라드,메이저나인,지니뮤직
89602840,변치 않는 건 (겨울왕국 2),박지윤 & 이장원 & 박혜나 & 정상윤 & Cast Of Frozen 2,OST,2019.11.15,댄스/팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
89602839,기억의 강 (겨울왕국 2),조영경 (Cho Young Kyoung),OST,2019.11.15,댄스/팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
86978532,Something Just Like This,The Chainsmokers & Coldplay,싱글,2017.03.06,팝,팝,Billboard Masters,플럭서스
